chisquareacc,chisquarefsqr,ginisplitacc,ginisplitfsqr,gainratioacc,gainratiofsqr,infogainacc,infogainfsqr,miscalssacc,miscalssfsqr
0.776470588235294,0.8565950837723619,0.7799019607843137,0.8618502671854401,0.7455882352941177,0.8420938710412396,0.790686274509804,0.8676572847292998,0.7122549019607844,0.8240128098022834
0.7249411764705883,0.8083161988386968,0.7230588235294118,0.8134040496540497,0.6501176470588236,0.758572584503619,0.6992941176470588,0.7984120837346643,0.7211764705882353,0.8073578321320257
0.8329741379310345,0.904023644588988,0.8329741379310345,0.9042710525668541,0.8364224137931033,0.9072837296871658,0.8640086206896551,0.9229487039678288,0.8113146551724137,0.8912033128751995
0.7406349206349205,0.822818127755269,0.7377777777777778,0.8206856824275637,0.7522222222222223,0.8333522453014153,0.7263492063492063,0.8115373754993513,0.7010317460317461,0.7958010803900845
0.7177557304139582,0.8120547378387822,0.7230756072528224,0.816226531888864,0.7142148477591514,0.8115230561172844,0.7324495381457407,0.8232862017135634,0.7058501539514198,0.8098116367437775
0.8001610305958131,0.8823895828773878,0.8001610305958131,0.8823895828773878,0.7864734299516908,0.8765874251098301,0.7740740740740741,0.863935122354454,0.7764895330112721,0.8682580002675444
0.7607142857142857,0.8071428571428572,0.7607142857142857,0.8071428571428572,0.7714285714285715,0.7947619047619048,0.7357142857142857,0.7871428571428571,0.6571428571428571,0.6328571428571429
0.8952380952380953,0.9440159213853576,0.9103896103896105,0.9524856162344232,0.9116883116883117,0.9531522021444679,0.9158008658008658,0.9553488434359936,0.9424242424242424,0.9698779123881582
0.5505882352941177,0.6346835074962792,0.5409803921568629,0.6213935872976116,0.6012745098039216,0.6914370755054431,0.5324509803921569,0.6191356183405006,0.545,0.627935118418318
0.7176804855998966,0.8222404485385321,0.7154074648069224,0.8203587842709272,0.7475655430711611,0.8439056794522071,0.7304533126695077,0.8308006513421967,0.7467777347281416,0.8478386958237053
0.6829001650165016,0.7933504397540772,0.6818584983498349,0.7931402987978686,0.7128506600660065,0.8181954965075441,0.6839418316831682,0.7940574193518282,0.7016501650165016,0.8115334989470494
0.8466666666666667,0.9143434343434343,0.8466666666666667,0.9125252525252525,0.8466666666666667,0.9125252525252525,0.8300000000000001,0.8991919191919191,0.89,0.9359358288770053
0.7277777777777777,0.819047619047619,0.7277777777777777,0.819047619047619,0.7277777777777777,0.819047619047619,0.7277777777777777,0.819047619047619,0.8555555555555555,0.9047619047619045
0.6204545454545455,0.5148018648018649,0.6295454545454546,0.5284382284382285,0.5742424242424242,0.46409090909090905,0.6651515151515152,0.6067965367965369,0.55,0.4763428401663695
0.834,0.906677943316069,0.8423333333333334,0.9114210263200215,0.8506666666666668,0.916051650591805,0.8800000000000001,0.9335133713305801,0.8960000000000001,0.9438995227319993
0.8444015444015444,0.9102119302569189,0.8385328185328185,0.9072297574587871,0.826949806949807,0.9003733814505447,0.8353667953667954,0.9034729591546636,0.8606177606177606,0.9210825844113055
0.7067688378033206,0.7743154420399003,0.7030651340996169,0.769595636229013,0.7141762452107281,0.7746944372427973,0.7242656449553001,0.780915741811573,0.647765006385696,0.7186790156528243
